Recording & QM Database Server,Speech Analytics Database,TCP,139,All
Recording & QM Database Server,Speech Analytics Database,TCP,445,All
Recording & QM Database Server,Speech Analytics Database,UDP,137,All
Recording & QM Database Server,Speech Analytics Database,UDP,138,All
Recording & QM Database Server,Speech Products Database,TCP,137,All
Recording & QM Database Server,Speech Products Database,TCP,139,All
Recording & QM Database Server,Speech Products Database,TCP,445,All
Recording & QM Database Server,Speech Products Database,UDP,137,All
Recording & QM Database Server,Speech Products Database,UDP,138,All
Speech Database Server,Speech Analytics Database,TCP,137,All
Speech Database Server,Speech Analytics Database,TCP,139,All
Speech Database Server,Speech Analytics Database,TCP,445,All
Speech Database Server,Speech Analytics Database,UDP,137,All
Speech Database Server,Speech Analytics Database,UDP,138,All
Speech Database Server,Speech Products Database,TCP,137,All
Speech Database Server,Speech Products Database,TCP,139,All
Speech Database Server,Speech Products Database,TCP,445,All
Speech Database Server,Speech Products Database,UDP,137,All
Speech Database Server,Speech Products Database,UDP,138,All
Consolidated Server,Contact Database,TCP,137,All
Consolidated Server,Contact Database,TCP,139,All
Consolidated Server,Contact Database,TCP,445,All
Consolidated Server,Contact Database,UDP,137,All
Consolidated Server,Contact Database,UDP,138,All
Contact & QM Database Server,Contact Database,TCP,137,All
Contact & QM Database Server,Contact Database,TCP,139,All
Contact & QM Database Server,Contact Database,TCP,445,All
Contact & QM Database Server,Contact Database,UDP,137,All
Contact & QM Database Server,Contact Database,UDP,138,All
Data Center Server,Contact Database,TCP,137,All
Data Center Server,Contact Database,TCP,139,All
Data Center Server,Contact Database,TCP,445,All
Data Center Server,Contact Database,UDP,137,All
Data Center Server,Contact Database,UDP,138,All
Database Management Server,Contact Database,TCP,137,All
Database Management Server,Contact Database,TCP,139,All
Database Management Server,Contact Database,TCP,445,All
Database Management Server,Contact Database,UDP,137,All
Database Management Server,Contact Database,UDP,138,All
Database Server,Contact Database,TCP,137,All
Database Server,Contact Database,TCP,139,All
Database Server,Contact Database,TCP,445,All
Database Server,Contact Database,UDP,137,All
Database Server,Contact Database,UDP,138,All
Recording & QM Database Server,Contact Database,TCP,137,All
Recording & QM Database Server,Contact Database,TCP,139,All
